514282546,2015-09-20 8:45,2015-09-20 13:45,Air Canada,Myers,Tana,455
423247559,2015-09-21 0:45,2015-09-21 15:45,Iceland Air,Oneill,Hope,478
513175026,2015-09-20 8:45,2015-09-20 13:45,American Airlines,Huff,Gay,243
462271940,2015-09-21 0:45,2015-09-21 18:45,Air Canada,Barry,Zenaida,345
527484398,2015-09-20 8:45,2015-09-20 17:45,Iceland Air,Carney,Nyssa,345
341205557,2015-09-21 0:45,2015-09-21 13:45,American Airlines,Strong,Julie,654
517734529,2015-09-20 8:45,2015-09-20 13:45,Air Canada,Holman,Xena,456
538051334,2015-09-21 0:45,2015-09-21 15:45,Iceland Air,Newton,Shoshana,345
452780024,2015-09-20 8:45,2015-09-20 13:45,American Airlines,Sweet,Naomi,456
523754994,2015-09-21 0:45,2015-09-21 15:45,West Jet,Lindsey,Holly,743
